,title,contents
0,The Thais caught up in the Israel-Gaza war,"In a village lying close to the Mekong River, Weerapon ""Golf"" Lapchan sits in the centre of a group of Thai elders as they tie white threads around his wrists and chant. They are literally calling his ""kwan"" or spirit back to his body, after his narrow escape during the Hamas attack on Israel on 7 October.The 34-year-old is one of more than 25,000 Thais who were working on farms and orchards in Israel when the Hamas militants stormed in from Gaza. At least 30 Thais were among the 200 or so foreign nationals who were killed in the attack. Now the Thai government is helping others, thousands of them, to return home. Thailand provides almost all the foreign farm labour in Israel. And there have been warnings of dire consequences for the country's agricultural economy if large numbers of Thais choose to stay away after the Hamas attack. Many of the Thai workers have to borrow money to go to Israel and now they are returning, jobless and in debt.  Yet some like Golf never want to go back. On the morning of 7 October, when Golf and his co-workers saw rockets being fired, and then intercepted by Israel's Iron Dome defence system, he says they were not unduly worried. Golf had been working at an orange orchard in Yesha, just 5km (three miles) from the border with Gaza, for nearly a year. He had experienced rockets flying overhead before. When they heard gunfire, however, they realised it was more serious, and hid most of that day. In the evening, says Golf, the Hamas attackers returned, throwing grenades and setting the rooms where they were hiding alight. He and 11 others made a run for it. ""We jumped over the wall, and they shot at us from behind. Bang, bang, bang, bang."" He says he was wearing only a pair of red boxer shorts when he ran to the middle of the orchard. He and the others crouched down, turning off their phones so the attackers couldn't see the light. ""We were all shocked and kept quiet all night - so quiet that we could hear the falling leaves,"" he says. The international victims of Hamas' assault on IsraelWhat is happening in Israel and Gaza, and why now?How Hamas staged lightning assault no-one thought possibleGolf was brought back to Thailand on a government-organised evacuation flight on 13 October. He has decided he will not go back, no matter what he might be offered. Death was just seconds away that day, he says. All 12 of them have decided that they never want to face that again.At least 19 Thai workers are believed to have been abducted by Hamas, with many more still missing.  In another village to the north, Narissara Chanthasang has had no news of her husband Nattapong since the morning of the attack. He had phoned her to tell her there was shooting, and that he was running away.He left her and his six-year-old son in June last year to work on an avocado and pomegranate farm in the Nir Oz kibbutz, not far from where Golf was working. Nir Oz was one of the communities worst affected by the attack. One in four of those who lived there are believed to have been killed or kidnapped by the militants, including many children. Narissara's only hope is that Nattapong may have been abducted, although he is not on the government's list of Thai hostages. People have always moved away from north-eastern Thailand in search of work. The mainly rural region is one of the poorest in the country, where rice farming provides only a bare subsistence living and well-paid jobs are scarce. More than 80% of Thai workers in Israel are from the north-east. They started going to Israel in the 1980s and the arrangement was formalised in an agreement between the two governments in 2011. It has not been without controversy. Human rights and labour groups have in the past complained about the Thais being overworked in unsafe conditions. People told the BBC they have to pay significantly more than the official fees of around 70,000 baht ($2,100) to get to Israel - often up to 120,000 baht including extra costs and unofficial payments. But they also say they can earn seven to eight times more than in Thailand. Some praised their Israeli employers for looking after them and paying them on time. ""Partly it's about improving their social status,"" says Poonnatree Jiaviriyaboonya, an anthropologist at Nakhon Phanom University. ""Those who came back from working overseas get more respect. They seem more cosmopolitan, more educated. But in reality, [they] are still poor migrant workers, poor rice farmers who have been neglected by the government. We need to shake up our policies for developing this region so people do not have to leave their families and go overseas.""The debts they have incurred are a worry for those who have come back early. They borrow money against their land or their house - and they normally work in Israel for at least five years, so they can pay off what they owe. Golf's younger sister took out a loan for him to go last year. Narissara's mother mortgaged her rice-fields to raise the 200,000 baht they needed to send Nattapong to Israel.This is weighing on the mind of Anusorn Kamang, a 25-year-old whose mother also mortgaged her land for him to go to Israel. He spent a harrowing few days under constant rocket attack at the organic vegetable farm where he was working, before borrowing more money for his flight home. The Thai government has promised to reimburse that cost, but his mother's debt is still there, and he is thinking about going back, once the fighting stops.""I earned a lot in Israel, and my employer was good to me. Working here won't get me anywhere. It's enough for food, but that's all. I want a house and a car. I have none of that yet.""Follow live: Latest updatesExplained: What is happening in Israel and Gaza, and why now?History behind the story: The Israel-Palestinian conflictHostages: Who are the hostages taken by Hamas from Israel?Gaza: Dead and wounded strain Gaza hospitals as air strikes intensify"
1,Catfishing: How I hunted down the gang impersonating me online,"James Blake, an entrepreneur and owner of a digital marketing agency, happily admits that he spends his life online 24/7. But he learned first-hand about the dark side of the web and how even things we understand well can turn our lives - and our identity - upside down. His story of scam artists and impersonation has been turned into a documentary for BBC Northern Ireland - Hunting The Catfish Crime Gang. Below he talks about his journey to making the film.I eat, sleep and breathe digital. It's the connectivity; the immediacy and international business possibilities of social media that I love.But a couple of years ago my relationship with the internet changed forever.I received a message to say someone had come across a fake account of mine - it had my name and my face. But it wasn't me.I thought it was amusing at first but, slowly, more and more of these impersonator accounts kept popping up. Soon there were complex profiles, using all my images with thousands of followers. They had pictures of my car, my friends, my family, our offices and my team.But things were to get worse. Soon after, I received messages from people who had been scammed and lost money. Every day I would wake up to three or four messages from women who were supposedly dating me. One woman said she had been seeing me for six months after we met online; a couple of women contacted me saying they had lost £1,000 and one even said she had lost £50,000. I started to worry because it was getting out of control.I'd been reporting the fake profiles to the platforms and doing everything I could to take them down but it wasn't stopping. I wanted to find out more about how this can happen and how to bring it to an end, for good.This documentary - Hunting the Catfish Crime Gang - made that possible. During filming, I met some of the women who have been in contact with accounts using my pictures.I don't get nervous very often, but when I went to the park to meet one of the victims I was really anxious - I was well aware of the impact this would have had on their life. I sat with a scam interceptor as a live telephone scam took place and thankfully the elderly lady on the other side of the phone was warned before she lost anything. It really was something to hear the relief in her voice that she was okay.My journey took me all the way to Thailand to see the giant complexes that exist to facilitate these scams - I was blown away by how sophisticated the whole operation is. There's millions of pounds invested into the infrastructure of these operations. I imagined these people operating out of a shack somewhere that barely has internet, not somewhere that wouldn't look out of place in Canary Wharf. I also discovered that those involved in the scams are themselves often victims - trafficked into these compounds with no choice but to carry out the demands of those in charge.I hope the documentary will open people's eyes to what's going on - the horrific reality is that there is a hierarchy of victims involved. Once you watch the film, I don't think a single person will be able to look at a fake profile the same way again. I also hope it helps raise awareness to these scams so that people are more alert to the dangers online.  Anybody could become a victim to this and the shame needs to be eradicated because the more people who come forward and share their story, the closer we get to stopping it.Hunting The Catfish Crime Gang will be on BBC Three on Monday 23 October at 21:00 BST and BBC One/BBC One NI on Tuesday 24 October at 22:40."
2,Hamas attack: 12 Thais killed and 11 kidnapped in Israel,"Twelve Thais have been killed and another 11 kidnapped by Palestinian Hamas militants who launched a mass assault from Gaza on Israel.Another eight Thai nationals have been injured in the violence since Saturday, said Thailand's foreign ministry.It said air force planes were on standby to fly its citizens home. There are some 30,000 Thais in Israel working in agriculture, many near the Gaza border. Nepal said 10 of its citizens had been killed.Other countries which have reported citizens killed, abducted or missing in the violence in Israel include the US, UK and Germany.Thailand's labour minister Phiphat Ratchakitprakarn told AFP news agency that some 5,000 Thai labourers work in the zone where fighting has been taking place, but that Israeli forces had begun moving them to safety. He added that 1,099 workers have registered to return home. Workers at a farm in Mivtahim, a town near the Gaza Strip, described Hamas militants storming their farm after rockets were fired in the early hours of Saturday.""The Hamas militants fired a rocket first, then they stormed our farm. I had to run and hide in my bedroom,"" Udomporn Champahom told the BBC.  Mr Udomporn was later rescued by Israeli soldiers. He said that a fellow Thai who was with him at the time is recovering from a gunshot wound ""as big as a bottle cap"" on his leg.Another Thai worker told the BBC: ""I was running and crawling underneath a truck then the Hamas pulled me out and pointed the gun at me at point blank before firing to the ground."" The worker, who declined to be named, later managed to escape.260 bodies recovered from 'horror movie' festival sceneGaza hospital deluged as Israel retaliates with strikesWanida Maarsa told BBC Thai that her husband Anucha Angkaew - who had been working on an avocado farm for almost two years - was one of those taken captive by the militants. He appeared in a video Hamas put out over the weekend. ""[The man in the video] is absolutely him,"" she said. ""I have not been able to contact him since 02:00 Bangkok time [19:00 GMT on Friday]. I talked to him just before our daughter went to sleep,"" Ms Wanida added.More than 50 countries are thought to have citizens working inside Israel.Nepal confirmed on Sunday that the 10 students who were killed had gone to Israel to work and acquire skills in an agricultural firm. One of the victims was 27-year-old Rajesh Kumar Swarnakar, whose family are in mourning in their village Madhuwan in eastern Sunsari district.Rajesh was a final year agriculture student who hoped to go to Australia, his brother Mukesh told BBC Nepali.""I was not in favour of sending my brother to Israel. He insisted to us that he had received a scholarship and told us that he would save some money to apply for Australia after finishing the programme in Israel.""Their father Raj Kumar Swarnakar felt the Israeli authorities had been negligent in sending his son for training in an area prone to conflict. In total Nepal says 265 of its students are working on various Israeli farms. Seventeen students from Nepal's Far Western University were attacked by Hamas gunmen near Gaza. As well as the 10 killed, four are being treated at local hospitals and two have been rescued to Tel Aviv. One is still missing. The Nepali embassy in Israel has said more than 200 Nepalese have filled out forms expressing a willingness to return home. In addition to those working in agriculture, another 4,500 Nepalis are reported to be working as caregivers in Israel. Separately, India said that it is working ""actively"" to bring back its nationals in Israel. According to media reports, there are around 18,000 Indians living and working in the country.Additional reporting by Phanindra Dahal in Nepal"
3,Bangkok: Parents of Siam Paragon mall shooter ask for forgiveness,"The parents of a 14-year-old boy who fatally shot two people inside a luxury shopping mall in central Bangkok have asked for forgiveness.A letter, written in Thai by the boy's father and released to the media, states the family is cooperating fully with authorities in the legal process.The boy faces charges of murder after he opened fire on Tuesday inside the Siam Paragon mall - one of the most-visited shopping centres in Asia.His motives remain unclear.In the letter the parents said their son was now in the juvenile observation and protection department as they expressed their ""profound sense of regret"".""We offer our deepest apologies to the victims, the families of the deceased and the injured from the recent shooting incident that occurred as the result of our son's actions at the Siam Paragon department store,"" the statement says.""This includes the public, tourists, business and store owners and those involved in the incident or nearby who were evacuated and troubled in any way.""It also includes the medical staff, nurses, police, government officials, whether Thai, Chinese, Myanmar or Lao and all parties affected by this incident. We greatly regret also the damage and impact.""We are deeply saddened and shocked by this incident and accept responsibility as fully as we can.""Thai authorities charged the teenager on Wednesday with premeditated murder and illegal possession of a firearm. Police said the boy used a modified pistol intended to fire blanks.His family have not applied for bail.The two victims who were killed were from China and Myanmar. Five other people - one Lao national, one Chinese and three Thais - were injured.According to Reuters, police said the boy suffered a psychological breakdown in the run-up to the shooting. A court turned down a police request to detain the suspect at a mental health facility and ordered him into juvenile detention instead, according to a court document seen by Reuters."
4,Bangkok: Two dead and 14-year-old held over Siam Paragon mall shooting,"A 14-year-old boy has been arrested after two people were killed and five others injured in a shooting at a luxury shopping mall in the centre of Bangkok, police say.The shooting happened at the Siam Paragon, one of the city's most famous shopping centres. The victims were from China and Myanmar, Thailand's police chief said.The suspect, whose motives are unclear - surrendered to officers and had been using a handgun, police said.Five other people - one Lao national, one Chinese and three Thais - were injured.One of the victims was Chinese and the other, who worked at the mall, was Burmese, national police chief Torsak Sukvimol told a news conference.Footage showed shoppers inside the Siam Paragon mall running for the exits after they heard multiple shots being fired.By the time police arrived on the scene at 17:10 local time (10:10 GMT) and were able to disarm the assailant, several people had been hit. Ambulances had to battle with the notoriously busy rush hour traffic in this part of Bangkok to carry the victims to hospital.The teenaged suspect has been transferred to Pathumwan police station. He attended a school close to the mall and had a record of getting treatment for a mental health condition at Rajvithi hospital, but had recently stopped taking his medication, Mr Sukvimol said. The headteacher of the private school, named The Essence, wrote to parents confirming the suspect was a pupil and said the school would cooperate with police.Live updates: Three killed in Bangkok mall shootingEyewitnesses inside the mall said they hid inside shops and bathrooms.Jakkraphan Nakharisi, 29, an ice cream seller who has worked at the mall for two years, told the BBC that he did not realise at first that the noises were gunshots.""There were four to five of them. And then silence. Then there were probably another two shots. Then I heard someone in my shop shout, 'There's some shooting!'""I ducked behind the ice cream tank immediately. I didn't know where to run. I thought I couldn't just go out recklessly.""He said he heard security guards escort people off the premises, before he left ""no more than 10 minutes after the shooting"".Palmyra Kownack, a 61-year old UK resident currently in Bangkok who was at the Paragon when the shooting took place, told the BBC she had been left shaken.""There was a lot of shouting and shots,"" she said. ""It was difficult to know what was happening. We didn't know if it was one person or a gang.""""We could see military walking by. We stayed there for about an hour until we finally got the all clear to leave. We were escorted out by the back exit. It was chaos with so many people.""In a statement, a Siam Paragon spokesperson expressed condolences to the victims. ""As soon as the incident occurred, the police and Siam Paragon's security team immediately evacuated customers and employees from the building, prioritising the safety of all customers, employees, and tenants,"" the statement said.Mass shootings in Thailand are rare, although gun ownership rates are relatively high for the region.An ex-policeman killed at least 37 people, most of them children, in a gun and knife attack at a childcare centre in in Nong Bua Lamphu province in north-east Thailand in October last year.In 2020, a soldier killed 29 people and injured dozens more in the city of Nakhon Ratchasima. "
5,Bangkok mall: Shoppers flee after fatal shooting,"A teenager opened fire at a luxury shopping mall in the centre of the capital, Bangkok,The 14-year-old boy was arrested inside Bangkok's Siam Paragon mall. He had been using a handgun. Emergency services responded as the mall was evacuated."
6,Thailand: Leading activist Arnon Nampa jailed over calls for royal reform,"One of Thailand's most prominent political activists, Arnon Nampa, has been sentenced to four years in prison under the country's much-criticised royal defamation, or lese-majeste law. He was convicted by a court in Bangkok over comments he made during a protest in October 2020. Thailand's lese-majeste law forbids anyone from insulting the monarchy on pain of harsh jail sentences. It has been increasingly enforced since the military took power in a 2014 coup. Mr Arnon, a human rights lawyer, was the first activist to call publicly for a national conversation on the role of the monarchy in today's Thailand.The verdict follows months of public discussion of the law after the general election in May, in which the progressive Move Forward party defied expectations by winning the largest number of votes and seats in parliament on a platform of sweeping reform, including a demand that the lese-majeste law be amended. That demand was cited by the military-appointed senate as justification for blocking Move Forward from forming a government, despite the clear majority it had with its then-coalition partners in parliament. Simply proposing changes to the law, argued many senators, amounted to a threat to the monarchy's status in Thailand and could not be allowed.As a result, an alternative coalition was cobbled together, which includes many of the conservative parties from the outgoing administration. Any debate about the monarchy will now certainly be strongly discouraged.Arnon Nampa shot to prominence on 3 August 2020, when, during student-led protests against the then-military-backed government, he broke a strict taboo by demanding that the monarchy be part of wider calls for reform. It was a very risky thing to do. People have been jailed for 30 or 40 years in Thailand just for social media posts deemed to defame the royal family. Defending yourself against a lese-majeste charge is very difficult too - trials are often held behind closed doors, and defendants are put under great pressure to plead guilty, in order to get the typically severe sentences reduced.Mr Arnon's call struck a chord with many younger Thais. Thailand's king is officially above politics, and in public plays a largely ceremonial role, like other constitutional monarchs. But the Thai monarchy is one of the wealthiest in the world, and in practice can exercise great power. King Maha Vajiralongkorn has personal command over the most important army units. Much of the way the palace is funded, or uses its influence, remains opaque. Thailand's lese-majeste law explained Monarchy reform calls unconstitutional: Thai courtThai police arrest nine in sweep against activistsA week after Mr Arnon's taboo-breaking proposition, students at Thammasat, one of the top universities, issued a manifesto calling for wholesale changes to the monarchy. The next five months saw a series of increasingly bold demonstrations in the capital Bangkok and other cities where the monarchy was centre stage. Real change is not possible, they argued, unless the monarchy is also discussed.Until the 2020 protests, use of the lese-majeste law had been suspended for two years, at the request of the king. Royalists quietly conceded that such prosecutions damaged the image of the monarchy. But the open criticism, even scorn, of the royal family by some of the demonstrators prompted a rethink. By December 2020, the lese-majeste law was being used once more against the protest leaders, in particular Arnon Nampa, who has been charged 14 times. He also faces multiple charges under other national security laws like Sedition and the Computer Crimes Act, and has already spent several months in prison.The 2020 protests petered out by the following year. But many of the ideas of the youth movement behind them persisted, and were adopted by the Move Forward party for its 2023 election campaign. It carefully avoided any direct call for royal reform, but did talk about the need for a national conversation about the institution, as Mr Arnon had done, and wanted the lese-majeste law to be amended. Some of Move Forward's young candidates were themselves facing lese-majeste charges over their involvement in the 2020 protests. Some are now first-time MPs in the new parliament, where they are part of the official opposition.The senate's success in keeping Move Forward out of power means the public discussion it wanted about the monarchy cannot happen, for now. It has also quashed any real possibility that the lese-majeste law will be amended, or its use curtailed. Since 2020, 257 people have been charged with lese-majeste, the highest number ever seen in Thailand. Protest leaders from the 2020 movement like Arnon Nampan will be tied up defending themselves against multiple criminal charges for many more years. He has two very young children, who may not be able to see much of their father as they grow up."
7,Thailand: Man charged with beating his three children to death,"Police in Thailand have charged a man with beating to death his two-year-old daughter and his two infant sons.They suspect Songsak Songsaeng also killed two other infant sons from a previous marriage. The charges follow the discovery last week of the body of a two-year-old girl buried beneath a kitchen floor. Police say Mr Songsak claims to have a history of mental illness - and that he killed his children because he couldn't tolerate the sound of their crying.His wife has also been charged over the death of their two-year-old daughter. And his ex-wife has been charged over the deaths of the two boys. All three have been arrested. Mr Songsak has been married four times. Police were first alerted to a possible case of domestic violence at the Bang Khen district in Bangkok earlier this month. Mr Songsak's neighbours reported that his two daughters, aged 12 and four, were being physically abused. Police rescued the two daughters while they were home without their parents.The 12-year-old told police that their parents had beaten her two-year-old sister, which led to her death. She also helped police trace the body to where it was buried under a kitchen floor in north-west Thailand last week.Thai woman accused of murdering 12 friendsSpanish actor's son pleads guilty to Thailand murderMissing German man's remains found in Thailand freezerThai police have also charged Mr Songsak with the killing of two other sons he had with his third wife after his DNA matched with that of two infants, whose bodies were unearthed 10 years ago. His third wife had said he killed their four infant sons and gave police locations where two were buried.Police believe the two others may have been buried under an area where a petrol station now stands."
8,Thaksin: Former Thai PM's prison sentence reduced to a year,"Thailand's King has reduced the eight-year prison sentence of former prime minister Thaksin Shinawatra to a year. Mr Thaksin, who returned home last month after 15 years of self-imposed exile, was immediately sent to jail. He was then moved to the luxury wing of a state hospital after complaining of heart problems. Mr Thaksin had previously said the outstanding sentences, over charges of corruption and abuse of power, were politically motivated. Deposed by a military coup in 2006, Mr Thaksin, one of Thailand's most influential and polarising personalities, left the country two years later to avoid a prison sentence. His return on 22 August was assumed to be part of a wider political deal. And it was one that was meant to bring his popular Pheu Thai party together with its one-time adversaries in a compromise government. And it did that. Hours after he arrived, a new coalition government, led by Pheu Thai, voted its candidate Srettha Thavisin as the new PM.  The coalition includes Mr Thaksin's former military rivals who deposed his party in 2014 in a coup.Who is Thaksin Shinawatra? Thaksin's return seals grand Thai political bargainMr Thaksin clearly hoped for leniency as a part of that deal, and King Vajiralongkorn has responded quickly to his request for a pardon, reducing his eight-year sentence to just one. Mr Thaksin is likely to stay in hospital. In response to his request for a royal pardon, the royal gazette on Friday noted his age and ""illness"". It added that Mr Thaksin ""has done good for the country and people and is loyal to the monarchy"". However, Mr Thaksin must have hoped his sentence would be overturned, and not just reduced. His continued incarceration will limit his ability to influence his party, as it struggles to manage an unwieldy coalition in which it holds only around half the parliamentary seats. It also faces energetic opposition from the youthful Move Forward party, which eclipsed Pheu Thai to come first in the last general election. But Move Forward was unable to form the government, even after agreeing to a coalition with Pheu Thai. Together, the two parties were unable to gain the assent of the 250-member unelected senate, which is allowed to join the 500 elected MPs in voting for the Thai PM. By coming back and accepting his sentence Mr Thaksin has now settled the bitter rivalry with conservative royalists that has hung over Thailand for the last 20 years. But at the cost of being a much-diminished political figure."
9,Profile: Thaksin Shinawatra,"Thaksin Shinawatra, one of the most influential and polarising characters in Thai politics, has had his eight-year prison sentence reduced to one year. The 74-year old former prime minister was greeted by hundreds of cheering supporters as his private jet touched down at Don Muaeng Airport last month, after 15 years of self-imposed exile. He was taken to the Supreme Court, which had sentenced him based on convictions over corruption allegation charges that he says were politically motivated.Thaksin wrote to King Vajiralongkorn to ask for a pardon shortly afterwards, but the royal announcement stated that he had now accepted his crime, and shown remorse.Upon his return, he was taken to jail. However, he was almost immediately moved to the luxury wing of a state hospital, after complaining of heart problems. He is likely to stay there. Despite his absence from Thailand, Thaksin is still a significant figure in the country's politics. The Pheu Thai party, now led by his youngest daughter Paetongtarn, 37 will likely play a leading role in the new ruling coalition. A telecommunications billionaire, he was the first prime minister in Thailand's history to lead an elected government through a full term in office.He was enormously popular, especially among the rural poor, but also proved a divisive figure and was deeply unpopular among many of Bangkok's rich elite.After more than five years in power, he was ousted in a military coup in September 2006, accused of corruption and abuse of power.Mr Thaksin has been in self-imposed exile since - mostly in London or Dubai. He also owned a controlling stake in English Premier League football club Manchester City, which he was forced to sell off in 2008 after his assets were frozen by Thai authorities over allegations of corruption and conflict of interest.In the 17 years since being unseated in a 2006 military coup, the country has seen 10 prime ministers. But Thaksin has remained very much at the heart of Thailand's political dramas.Born in 1949 in the northern city of Chiang Mai, Thaksin started his career as a police officer.In 1973, he received a government scholarship to study for a masters degree in criminal justice in the United States.When he returned he went into business, and during the late 1980s began building a successful telecommunications empire.He founded the Thai Rak Thai (Thais Love Thais) party in 1998, and its rapid emergence transformed the country's politics.Thaksin swept into office in 2001, soundly defeating the old guard from the Democrat Party.Poorer voters liked his offers of cheap medical care and debt relief, his nationalist platform and his contempt for the ""Bangkok elite"". But big business also liked him for his CEO-style of government and his ""Thaksinomics"" policies, which created a new boom in a country where the Asian financial crisis of the late 1990s had begun.Thaksin also won support for his handling of the tsunami relief effort after the 2004 Indian Ocean disaster, which devastated parts of south-western Thailand.Other things were not so easy. He had to face the fallout from his government's suppression of news of an outbreak of bird flu, as well as criticism over the violent deaths of more than 2,500 people during a crackdown on drugs in 2003.Thailand's Corruption Commission found he had failed to declare all of his wealth, and he was also criticised over the government's handling of the upsurge in violence in the largely Muslim south.Yet each time he faced pressure, Thaksin appeared to ride out the storm, his backing among his key supporters - Thailand's rural voters - apparently unscathed.It was his family's decision to sell its shares in one of Thailand's biggest telecom groups, Shin Corp, that led to Thaksin's downfall.The sale, in early 2006, which netted his family and friends $1.9bn, angered many urban Thais, who complained that Thaksin's family had avoided paying tax and passed control of an important national asset to Singaporean investors.Amid large-scale street demonstrations, Thaksin called a snap general election for April 2006, effectively telling opponents to ""put up or shut up"".But main opposition parties boycotted the polls and many voters chose to register a ""no vote"".Faced with the threat of further protests, Thaksin said he would step down. He did for a few weeks, but returned to office in May.In September that year, following months of political uncertainty, the military seized power while the prime minister was out of the country.Thaksin relocated to the UK, but shortly after his allies won the first post-coup elections in late 2007, he returned to Thailand.There he and his family faced a raft of corruption charges - allegations which the former Thai leader probably expected to come to nothing.But the courts - greatly empowered by a new military-backed constitution - pursued the cases against him and his family with new vigour.First his wife, Potjaman, and then Thaksin himself were sentenced to jail terms - with the Supreme Court finding the former leader guilty of corruption.Thaksin left Thailand, failing to return home for a court appearance from the Olympic Games in Beijing in August 2008, and became a fugitive.Since divorcing his wife - who now lives in Bangkok after her sentence was suspended - he has spent most of his time in Dubai.Political parties backed by Thaksin and led by his proxies have consistently won elections, but have been unable to hold on to power. In 2008, a successor party to Thai Rak Thai was dissolved by the courts in 2008, and in that year two of its prime ministers were also disqualified.After Thaksin's sister Yingluck won a landslide in the 2011 election, she was disqualified by the courts, and her government ousted by a second coup. She is also living in exile.At the 2019 election, Pheu Thai won far more seats than any other party, but was prevented from forming a government.But in May, the progressive Move Forward party stunned observers by winning the most seats in the lower house, well ahead of Pheu Thai. Its leader Pita Limjaroenrat's bid to become PM was swiftly ended, as he was suspended from parliament by the constitutional court.It paved the way for Thaksin's return, as Pheu Thai brokered a power-sharing deal with two military-linked parties. "
